system:index,B1_median,B2_count,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,cloud_cover,cloud_qa_count,date,dissPermID,img_qual,included_RF,lat,loc_rowid,lon,nd_median,pixel_qa_median,radsat_qa_median,sensor,solar_az,solar_zen,sr_atmos_opacity_median,sr_cloud_qa_median,.geo
1_LT05_011027_19840527_000000000000000003c5,451.0,14,566.0,476.0,547.0,248.0,2874.0,189.0,15.0,0,1984-05-27,145061070,9.0,y,46.69069866120222,1352,-67.89307314158357,-0.3906633906633907,68.0,0.0,LANDSAT_5,133.287399,33.032749,103.0,0.0,
1_LT05_011027_19840527_000000000000000003c7,361.0,15,443.0,396.0,450.0,228.0,2855.0,191.0,15.0,0,1984-05-27,142978921,9.0,y,46.77221994666132,1354,-68.5022220182927,-0.3204172876304024,68.0,0.0,LANDSAT_5,133.287399,33.032749,65.0,4.0,
1_LT05_011027_19840527_000000000000000003c8,311.0,16,372.0,304.0,379.0,156.0,2860.0,123.0,15.0,0,1984-05-27,142978921,9.0,y,46.78288611638116,1355,-68.52503477928212,-0.4090909090909091,68.0,0.0,LANDSAT_5,133.287399,33.032749,65.0,32.0,
1_LT05_011027_19840527_000000000000000003cd,517.0,14,495.0,443.0,439.0,151.0,2846.0,121.0,15.0,2,1984-05-27,145049569,9.0,y,47.03771482338348,1361,-68.20246340907586,-0.5325077399380805,68.0,0.0,LANDSAT_5,133.287399,33.032749,115.0,36.0,
1_LT05_011027_19840527_000000000000000003ce,434.0,10,459.0,381.0,403.0,151.0,2836.0,121.0,15.0,6,1984-05-27,145049569,9.0,y,47.0400023422239,1362,-68.1999975261933,-0.5049180327868853,96.0,0.0,LANDSAT_5,133.287399,33.032749,116.0,40.0,
1_LT05_011027_19840527_000000000000000003cf,503.0,1,425.0,351.0,368.0,78.0,2807.0,52.0,15.0,16,1984-05-27,142978710,9.0,y,47.05641629320164,1364,-68.36275025554302,-0.6898608349900597,96.0,0.0,LANDSAT_5,133.287399,33.032749,111.0,36.0,
1_LT05_011027_19840527_000000000000000003d2,512.0,8,489.0,406.0,436.0,173.0,2841.0,156.0,15.0,7,1984-05-27,142978563,9.0,y,47.15426680671846,1370,-68.29094535127938,-0.4472843450479233,96.0,0.0,LANDSAT_5,133.287399,33.032749,138.0,32.0,
1_LT05_011027_19840527_000000000000000003d3,438.0,15,462.0,413.0,441.0,200.0,2797.0,156.0,15.0,0,1984-05-27,142978516,9.0,y,47.169797855687605,1371,-68.16910041499398,-0.3469387755102041,96.0,0.0,LANDSAT_5,133.287399,33.032749,114.0,4.0,
1_LT05_011027_19840527_000000000000000003d4,447.0,9,455.0,408.0,400.0,248.0,2786.0,190.0,15.0,0,1984-05-27,142978516,9.0,y,47.174872312686425,1372,-68.23614299933253,-0.29445234708392604,96.0,0.0,LANDSAT_5,133.287399,33.032749,133.0,40.0,
1_LT05_011027_19840527_000000000000000003d5,513.0,1,490.0,471.0,509.0,248.0,2786.0,225.0,15.0,8,1984-05-27,142978516,9.0,y,47.177842073988025,1373,-68.23139851581166,-0.32791327913279134,96.0,0.0,LANDSAT_5,133.287399,33.032749,132.0,4.0,
1_LT05_011027_19840527_000000000000000003d9,574.0,3,596.0,500.0,544.0,296.0,2807.0,189.0,15.0,6,1984-05-27,142978516,9.0,y,47.25656304398555,1381,-68.28278519635157,-0.336322869955157,96.0,0.0,LANDSAT_5,133.287399,33.032749,143.0,4.0,
1_LT05_011027_19840527_0000000000000000055b,451.0,6,566.0,475.0,546.0,248.0,2879.0,189.0,15.0,0,1984-05-27,145061070,9.0,NA,46.69006546885263,1351,-67.89358593820471,-0.3906633906633907,68.0,0.0,LANDSAT_5,133.287399,33.032749,105.0,0.0,
1_LT05_011027_19840527_0000000000000000055c,406.0,14,425.0,381.0,403.0,151.0,2836.0,121.0,15.0,1,1984-05-27,142978929,9.0,NA,46.81358256803308,1356,-68.76975470419629,-0.4756944444444444,68.0,0.0,LANDSAT_5,133.287399,33.032749,119.0,32.0,
1_LT05_011027_19840527_0000000000000000055d,573.0,1,571.0,509.0,514.0,299.0,2821.0,225.0,15.0,14,1984-05-27,142978730,9.0,NA,47.0414872228747,1363,-68.45347512557643,-0.31264367816091954,96.0,0.0,LANDSAT_5,133.287399,33.032749,106.0,32.0,
1_LT05_011027_19840527_00000000000000000560,492.0,12,465.0,416.0,515.0,226.0,2802.0,156.0,15.0,0,1984-05-27,142978730,9.0,NA,47.0867738531735,1367,-68.59039182342248,-0.3458755426917511,96.0,0.0,LANDSAT_5,133.287399,33.032749,109.0,8.0,
1_LT05_011027_19840527_00000000000000000561,370.0,15,448.0,368.0,380.0,180.0,2807.0,122.0,15.0,0,1984-05-27,{1A652FA7-5192-4083-974A-A65AC0A2958F},9.0,NA,47.22359690989743,1376,-68.98899086659002,-0.39291736930860033,68.0,0.0,LANDSAT_5,133.287399,33.032749,76.0,32.0,
1_LT05_011027_19840527_00000000000000000562,405.0,15,450.0,369.0,416.0,230.0,2786.0,192.0,15.0,0,1984-05-27,{1A652FA7-5192-4083-974A-A65AC0A2958F},9.0,NA,47.23171693291576,1377,-69.01178133207418,-0.3235294117647059,96.0,0.0,LANDSAT_5,133.287399,33.032749,72.0,8.0,
1_LT05_011027_19840527_00000000000000000565,358.0,16,461.0,378.0,387.0,134.0,2811.0,90.0,15.0,0,1984-05-27,{85383A01-DC89-47AA-BC5D-BE373FB0B5C3},9.0,NA,47.336661876208595,1382,-69.05328664467964,-0.5495798319327732,68.0,0.0,LANDSAT_5,133.287399,33.032749,49.0,32.0,
1_LT05_011028_19840527_00000000000000000334,322.0,16,334.0,305.0,432.0,148.0,2883.0,85.0,38.0,0,1984-05-27,150098054,9.0,y,45.25189390159,1117,-68.44608639513088,-0.4274661508704062,68.0,0.0,LANDSAT_5,131.015793,32.304916,127.0,32.0,
1_LT05_011028_19840527_00000000000000000344,407.0,13,489.0,379.0,548.0,249.0,2869.0,190.0,38.0,0,1984-05-27,150097972,9.0,y,45.29930752309128,1137,-68.4761496544332,-0.3261163734776725,66.0,0.0,LANDSAT_5,131.015793,32.304916,91.0,0.0,
1_LT05_011028_19840527_00000000000000000354,353.0,16,416.0,347.0,511.0,200.0,2888.0,155.0,38.0,0,1984-05-27,150097930,9.0,y,45.339354709652284,1157,-68.44183687182694,-0.35064935064935066,66.0,0.0,LANDSAT_5,131.015793,32.304916,96.0,0.0,
1_LT05_011028_19840527_00000000000000000359,397.0,13,484.0,405.0,544.0,224.0,2888.0,155.0,38.0,0,1984-05-27,150097924,9.0,y,45.35472077188245,1164,-68.48579469001182,-0.3672316384180791,66.0,0.0,LANDSAT_5,131.015793,32.304916,107.0,0.0,
1_LT05_011028_19840527_0000000000000000035f,501.0,2,568.0,446.0,644.0,243.0,2836.0,224.0,38.0,8,1984-05-27,103457176,9.0,y,45.37809983870568,1172,-69.38359901431471,-0.4007398273736128,96.0,0.0,LANDSAT_5,131.015793,32.304916,192.0,4.0,
1_LT05_011028_19840527_00000000000000000361,402.0,14,475.0,398.0,469.0,197.0,2883.0,154.0,38.0,0,1984-05-27,150097940,9.0,y,45.38942595538143,1174,-68.67552943983593,-0.41369047619047616,68.0,0.0,LANDSAT_5,131.015793,32.304916,129.0,0.0,
1_LT05_011028_19840527_00000000000000000362,520.0,16,569.0,446.0,569.0,193.0,2855.0,118.0,38.0,0,1984-05-27,103457176,9.0,y,45.390687880979556,1175,-69.39234777058157,-0.49343832020997375,68.0,0.0,LANDSAT_5,131.015793,32.304916,192.0,0.0,
1_LT05_011028_19840527_00000000000000000369,434.0,16,473.0,395.0,504.0,196.0,2865.0,120.0,38.0,0,1984-05-27,103455876,9.0,y,45.47228497115657,1184,-68.81908128004952,-0.414050822122571,68.0,0.0,LANDSAT_5,131.015793,32.304916,144.0,4.0,
1_LT05_011028_19840527_0000000000000000036c,475.0,16,470.0,388.0,461.0,119.0,2855.0,84.0,38.0,0,1984-05-27,{36A1FAF7-574F-4F86-AFAF-E4C3842DC153},9.0,y,45.49610994808512,1191,-69.49408662021699,-0.5688405797101449,68.0,0.0,LANDSAT_5,131.015793,32.304916,189.0,36.0,
1_LT05_011028_19840527_00000000000000000373,502.0,3,544.0,457.0,575.0,344.0,2855.0,224.0,38.0,2,1984-05-27,103455558,9.0,y,45.52414431640813,1198,-68.80659579709986,-0.22522522522522523,96.0,0.0,LANDSAT_5,131.015793,32.304916,148.0,8.0,
1_LT05_011028_19840527_00000000000000000374,626.0,6,678.0,603.0,641.0,315.0,2869.0,223.0,38.0,0,1984-05-27,150569418,9.0,y,45.533838402098326,1199,-69.52765473294733,-0.36555891238670696,68.0,0.0,LANDSAT_5,131.015793,32.304916,223.0,0.0,
1_LT05_011028_19840527_00000000000000000377,541.0,1,591.0,493.0,651.0,270.0,2846.0,189.0,38.0,13,1984-05-27,103455720,9.0,y,45.568583717506776,1204,-69.13572650495576,-0.37282229965156793,96.0,0.0,LANDSAT_5,131.015793,32.304916,164.0,8.0,
1_LT05_011028_19840527_0000000000000000038a,466.0,16,486.0,401.0,449.0,188.0,2807.0,187.0,38.0,0,1984-05-27,150569121,9.0,y,45.652624395061075,1230,-69.37199197427259,-0.4421364985163205,68.0,0.0,LANDSAT_5,131.015793,32.304916,249.0,0.0,
1_LT05_011028_19840527_00000000000000000390,484.0,12,495.0,446.0,496.0,243.0,2850.0,223.0,38.0,0,1984-05-27,150612745,9.0,y,45.694401712830796,1241,-68.86368120878608,-0.34146341463414637,68.0,0.0,LANDSAT_5,131.015793,32.304916,188.0,0.0,
1_LT05_011028_19840527_00000000000000000397,479.0,18,518.0,435.0,471.0,174.0,2855.0,155.0,38.0,0,1984-05-27,152243475,9.0,y,45.77019305343622,1250,-67.85084545460744,-0.4695121951219512,68.0,0.0,LANDSAT_5,131.015793,32.304916,113.0,32.0,
1_LT05_011028_19840527_00000000000000000399,447.0,16,493.0,445.0,568.0,242.0,2879.0,188.0,38.0,0,1984-05-27,145081825,9.0,y,45.78735167428988,1253,-68.3690643426347,-0.37305699481865284,66.0,0.0,LANDSAT_5,131.015793,32.304916,185.0,0.0,
1_LT05_011028_19840527_0000000000000000039e,513.0,12,573.0,480.0,570.0,267.0,2821.0,224.0,38.0,0,1984-05-27,150612165,9.0,y,45.822137121607824,1263,-69.09816303768152,-0.36428571428571427,68.0,0.0,LANDSAT_5,131.015793,32.304916,200.0,0.0,
1_LT05_011028_19840527_000000000000000003a3,464.0,18,463.0,383.0,384.0,143.0,2831.0,119.0,38.0,0,1984-05-27,150612428,9.0,y,45.865706998001045,1276,-69.54523696840107,-0.528052805280528,68.0,0.0,LANDSAT_5,131.015793,32.304916,208.0,32.0,
1_LT05_011028_19840527_000000000000000003a9,469.0,6,510.0,490.0,540.0,270.0,2874.0,224.0,38.0,0,1984-05-27,145081386,9.0,y,45.97969945733133,1293,-68.16719637884415,-0.3076923076923077,68.0,0.0,LANDSAT_5,131.015793,32.304916,144.0,0.0,
1_LT05_011028_19840527_000000000000000003aa,468.0,6,510.0,490.0,540.0,270.0,2874.0,224.0,38.0,0,1984-05-27,145081386,9.0,y,45.98578167116823,1294,-68.1635622114856,-0.3076923076923077,68.0,0.0,LANDSAT_5,131.015793,32.304916,145.0,0.0,
1_LT05_011028_19840527_000000000000000003ac,410.0,15,467.0,390.0,501.0,196.0,2874.0,154.0,38.0,0,1984-05-27,145081356,9.0,y,46.00895116024192,1296,-68.21529670190768,-0.37579617834394907,68.0,0.0,LANDSAT_5,131.015793,32.304916,159.0,0.0,
1_LT05_011028_19840527_000000000000000003ad,542.0,2,609.0,481.0,570.0,292.0,2831.0,223.0,38.0,12,1984-05-27,145081313,9.0,y,46.029320333854066,1298,-68.16341952025188,-0.3518312985571587,68.0,0.0,LANDSAT_5,131.015793,32.304916,177.0,4.0,
1_LT05_011028_19840527_000000000000000003af,522.0,15,511.0,427.0,540.0,221.0,2855.0,189.0,38.0,0,1984-05-27,145061926,9.0,y,46.09004883110096,1304,-68.02091556878585,-0.39617486338797814,68.0,0.0,LANDSAT_5,131.015793,32.304916,144.0,0.0,
1_LT05_011028_19840527_000000000000000003b1,472.0,16,469.0,389.0,463.0,194.0,2836.0,154.0,38.0,0,1984-05-27,{D05016DE-43ED-4053-A3FA-11D1DC1531FB},9.0,y,46.13092541045789,1308,-69.16545533167908,-0.44650499286733236,68.0,0.0,LANDSAT_5,131.015793,32.304916,190.0,0.0,
1_LT05_011028_19840527_000000000000000003b4,440.0,16,499.0,416.0,497.0,193.0,2865.0,154.0,38.0,0,1984-05-27,149808287,9.0,y,46.15239598203023,1312,-68.72091862945895,-0.4421965317919075,68.0,0.0,LANDSAT_5,131.015793,32.304916,192.0,0.0,
1_LT05_011028_19840527_000000000000000003b6,404.0,15,410.0,337.0,360.0,173.0,2802.0,120.0,38.0,0,1984-05-27,149808487,9.0,y,46.21920669311401,1320,-69.29713704488839,-0.4065180102915952,68.0,0.0,LANDSAT_5,131.015793,32.304916,156.0,32.0,
1_LT05_011028_19840527_000000000000000003b7,459.0,15,475.0,395.0,467.0,221.0,2869.0,190.0,38.0,0,1984-05-27,149808228,9.0,y,46.24548417562196,1322,-69.03111153514087,-0.3649425287356322,68.0,0.0,LANDSAT_5,131.015793,32.304916,166.0,4.0,
1_LT05_011028_19840527_000000000000000003b8,332.0,14,373.0,305.0,398.0,149.0,2850.0,85.0,38.0,0,1984-05-27,{59727CA5-B2C3-4C3A-892A-AF5DE2B2365A},9.0,y,46.28241445054661,1327,-68.93594540045822,-0.4659498207885305,68.0,0.0,LANDSAT_5,131.015793,32.304916,148.0,32.0,
1_LT05_011028_19840527_000000000000000003ba,449.0,15,492.0,407.0,512.0,248.0,2841.0,226.0,38.0,0,1984-05-27,142806726,9.0,y,46.30062541924888,1329,-69.16543303617381,-0.32972972972972975,68.0,0.0,LANDSAT_5,131.015793,32.304916,134.0,4.0,
1_LT05_011028_19840527_000000000000000003bd,297.0,16,347.0,281.0,329.0,150.0,2821.0,121.0,38.0,0,1984-05-27,142806732,9.0,y,46.33076448326912,1333,-69.35727694079621,-0.3963782696177062,68.0,0.0,LANDSAT_5,131.015793,32.304916,134.0,32.0,
1_LT05_011028_19840527_000000000000000003bf,416.0,16,421.0,377.0,367.0,225.0,2836.0,191.0,38.0,0,1984-05-27,{400E91F5-131A-4FA2-9188-5E7E38B181B1},9.0,y,46.44391863160136,1338,-69.3037186780433,-0.34017595307917886,68.0,0.0,LANDSAT_5,131.015793,32.304916,134.0,32.0,
1_LT05_011028_19840527_000000000000000003c1,638.0,6,638.0,535.0,585.0,298.0,2831.0,226.0,38.0,0,1984-05-27,142806564,9.0,y,46.52342886248535,1342,-69.12774471407009,-0.36324786324786323,68.0,0.0,LANDSAT_5,131.015793,32.304916,142.0,0.0,
1_LT05_011028_19840527_000000000000000003c5,455.0,14,569.0,478.0,552.0,251.0,2874.0,191.0,38.0,0,1984-05-27,145061070,9.0,y,46.69069866120222,1352,-67.89307314158357,-0.3878048780487805,68.0,0.0,LANDSAT_5,131.015793,32.304916,96.0,0.0,
1_LT05_011028_19840527_000000000000000003c7,355.0,15,439.0,393.0,450.0,229.0,2855.0,192.0,38.0,0,1984-05-27,142978921,9.0,y,46.77221994666132,1354,-68.5022220182927,-0.31334332833583206,68.0,0.0,LANDSAT_5,131.015793,32.304916,77.0,4.0,
1_LT05_011028_19840527_000000000000000003c8,309.0,16,337.0,304.0,381.0,157.0,2860.0,124.0,38.0,0,1984-05-27,142978921,9.0,y,46.78288611638116,1355,-68.52503477928212,-0.4053030303030303,68.0,0.0,LANDSAT_5,131.015793,32.304916,67.0,32.0,
1_LT05_011028_19840527_0000000000000000035e,395.0,7,433.0,329.0,392.0,147.0,2807.0,84.0,38.0,8,1984-05-27,103456840,9.0,y,45.37332414147744,1170,-68.92294712088743,-0.46055045871559636,96.0,0.0,LANDSAT_5,131.015793,32.304916,152.0,36.0,
1_LT05_011028_19840527_00000000000000000366,428.0,14,505.0,423.0,537.0,220.0,2841.0,189.0,38.0,0,1984-05-27,103456840,9.0,y,45.41661755360534,1179,-68.92910513944223,-0.36046511627906974,68.0,0.0,LANDSAT_5,131.015793,32.304916,156.0,0.0,
1_LT05_011028_19840527_00000000000000000367,412.0,15,434.0,360.0,502.0,196.0,2860.0,119.0,38.0,0,1984-05-27,103456840,9.0,y,45.42837174398223,1180,-68.95071394314724,-0.43234323432343236,66.0,0.0,LANDSAT_5,131.015793,32.304916,155.0,0.0,
1_LT05_011028_19840527_00000000000000000376,629.0,2,593.0,496.0,560.0,338.0,2792.0,223.0,38.0,12,1984-05-27,150569602,9.0,y,45.55459105840107,1203,-69.57545629624026,-0.2738990332975295,96.0,0.0,LANDSAT_5,131.015793,32.304916,253.0,8.0,
1_LT05_011028_19840527_0000000000000000037a,627.0,10,591.0,495.0,485.0,264.0,2792.0,188.0,38.0,0,1984-05-27,150569602,9.0,y,45.570666117698735,1207,-69.63661732628933,-0.39646464646464646,96.0,0.0,LANDSAT_5,131.015793,32.304916,253.0,40.0,
1_LT05_011028_19840527_0000000000000000038d,421.0,11,452.0,408.0,545.0,248.0,2802.0,224.0,38.0,0,1984-05-27,152243494,9.0,y,45.677983302752025,1237,-67.80355668793564,-0.2914285714285714,96.0,0.0,LANDSAT_5,131.015793,32.304916,97.0,8.0,
1_LT05_011028_19840527_00000000000000000391,403.0,14,451.0,407.0,474.0,248.0,2831.0,189.0,38.0,0,1984-05-27,152243494,9.0,y,45.69810276670516,1242,-67.8094025694167,-0.3251700680272109,68.0,0.0,LANDSAT_5,131.015793,32.304916,99.0,0.0,
1_LT05_011028_19840527_00000000000000000392,389.0,16,453.0,378.0,403.0,176.0,2831.0,155.0,38.0,0,1984-05-27,152243494,9.0,y,45.71569837946206,1243,-67.8271899235189,-0.4394904458598726,68.0,0.0,LANDSAT_5,131.015793,32.304916,97.0,32.0,
1_LT05_011028_19840527_00000000000000000396,500.0,16,556.0,468.0,545.0,224.0,2850.0,155.0,38.0,0,1984-05-27,152243494,9.0,y,45.769225428507625,1249,-67.80816293932385,-0.4256410256410256,68.0,0.0,LANDSAT_5,131.015793,32.304916,104.0,0.0,
1_LT05_011028_19840527_0000000000000000039b,729.0,2,697.0,561.0,653.0,296.0,2846.0,189.0,38.0,11,1984-05-27,152243494,9.0,y,45.79625203999256,1257,-67.80437716252948,-0.4038267875125881,96.0,0.0,LANDSAT_5,131.015793,32.304916,107.0,8.0,
1_LT05_011028_19840527_0000000000000000038c,419.0,1,522.0,469.0,581.0,273.0,2855.0,189.0,38.0,0,1984-05-27,D03CB32B-7849-4D33-A753-CF6A27EF9301,9.0,y,45.66647882203413,1233,-67.70290585895727,-0.3132075471698113,68.0,0.0,LANDSAT_5,131.015793,32.304916,97.0,4.0,
1_LT05_011028_19840527_00000000000000000506,358.0,16,420.0,350.0,476.0,152.0,2874.0,120.0,38.0,0,1984-05-27,150097953,9.0,NA,45.32162978296483,1144,-68.41172010331196,-0.46853146853146854,66.0,0.0,LANDSAT_5,131.015793,32.304916,89.0,0.0,
1_LT05_011028_19840527_00000000000000000513,382.0,16,436.0,363.0,466.0,171.0,2879.0,120.0,38.0,0,1984-05-27,150097786,9.0,NA,45.4956328242724,1190,-68.67661746049296,-0.43657331136738053,68.0,0.0,LANDSAT_5,131.015793,32.304916,144.0,32.0,
1_LT05_011028_19840527_0000000000000000051d,451.0,16,487.0,439.0,582.0,224.0,2865.0,155.0,38.0,0,1984-05-27,145082012,9.0,NA,45.65983030236343,1231,-68.30423793151971,-0.39865771812080536,66.0,0.0,LANDSAT_5,131.015793,32.304916,102.0,0.0,
1_LT05_011028_19840527_00000000000000000528,375.0,17,407.0,336.0,432.0,148.0,2874.0,85.0,38.0,0,1984-05-27,150611876,9.0,NA,45.82071466837176,1260,-68.86233456026794,-0.49830508474576274,68.0,0.0,LANDSAT_5,131.015793,32.304916,142.0,36.0,
1_LT05_011028_19840527_00000000000000000531,496.0,12,462.0,382.0,383.0,118.0,2826.0,83.0,38.0,2,1984-05-27,150612428,9.0,NA,45.86462343644505,1275,-69.51707774524856,-0.593103448275862,96.0,0.0,LANDSAT_5,131.015793,32.304916,210.0,36.0,
1_LT05_011028_19840527_00000000000000000542,485.0,9,471.0,424.0,611.0,244.0,2883.0,189.0,38.0,0,1984-05-27,145061926,9.0,NA,46.097999408279236,1305,-68.05799745314631,-0.3374384236453202,66.0,0.0,LANDSAT_5,131.015793,32.304916,158.0,8.0,
1_LT05_011028_19840527_00000000000000000543,523.0,3,655.0,520.0,758.0,344.0,2846.0,224.0,38.0,0,1984-05-27,149808288,9.0,NA,46.12041530927492,1307,-68.5400753271354,-0.3113113113113113,66.0,0.0,LANDSAT_5,131.015793,32.304916,169.0,0.0,
1_LT05_011028_19840527_00000000000000000545,442.0,17,474.0,360.0,465.0,170.0,2850.0,120.0,38.0,0,1984-05-27,149808430,9.0,NA,46.15919611113674,1313,-69.05857513852904,-0.4697674418604651,68.0,0.0,LANDSAT_5,131.015793,32.304916,179.0,32.0,
1_LT05_011028_19840527_0000000000000000054a,420.0,16,410.0,369.0,360.0,173.0,2807.0,155.0,38.0,0,1984-05-27,149808487,9.0,NA,46.219202234012954,1319,-69.29670005298516,-0.4065180102915952,68.0,0.0,LANDSAT_5,131.015793,32.304916,156.0,32.0,
1_LT05_011028_19840527_0000000000000000054c,378.0,2,309.0,248.0,292.0,125.0,2826.0,86.0,38.0,14,1984-05-27,142806733,9.0,NA,46.25666760106401,1323,-69.28055810717167,-0.423963133640553,96.0,0.0,LANDSAT_5,131.015793,32.304916,137.0,36.0,
1_LT05_011028_19840527_00000000000000000554,372.0,17,375.0,306.0,360.0,173.0,2841.0,120.0,38.0,0,1984-05-27,142806650,9.0,NA,46.448342059846375,1339,-69.20770531416048,-0.3686131386861314,68.0,0.0,LANDSAT_5,131.015793,32.304916,155.0,32.0,
1_LT05_011028_19840527_00000000000000000559,457.0,3,496.0,411.0,440.0,225.0,2826.0,226.0,38.0,0,1984-05-27,142806532,9.0,NA,46.627232275908526,1348,-69.16821551523117,-0.34306569343065696,68.0,0.0,LANDSAT_5,131.015793,32.304916,135.0,0.0,
1_LT05_011028_19840527_0000000000000000055a,385.0,16,421.0,345.0,365.0,150.0,2836.0,121.0,38.0,0,1984-05-27,{21C3C72C-023A-4822-816A-192B47CEED40},9.0,NA,46.67900689824009,1350,-69.19101935801848,-0.44849445324881143,68.0,0.0,LANDSAT_5,131.015793,32.304916,140.0,32.0,
1_LT05_011028_19840527_0000000000000000055b,455.0,6,569.0,508.0,588.0,275.0,2879.0,191.0,38.0,0,1984-05-27,145061070,9.0,NA,46.69006546885263,1351,-67.89358593820471,-0.375,68.0,0.0,LANDSAT_5,131.015793,32.304916,95.0,0.0,
1_LT05_011028_19840527_0000000000000000055c,420.0,15,436.0,390.0,377.0,179.0,2841.0,123.0,38.0,0,1984-05-27,142978929,9.0,NA,46.81358256803308,1356,-68.76975470419629,-0.41788617886178864,68.0,0.0,LANDSAT_5,131.015793,32.304916,91.0,32.0,
1_LT05_011028_19840527_0000000000000000050e,658.0,4,652.0,547.0,610.0,292.0,2836.0,188.0,38.0,0,1984-05-27,150569602,9.0,NA,45.46114613672505,1181,-69.5928467903487,-0.3697813121272366,96.0,0.0,LANDSAT_5,131.015793,32.304916,192.0,4.0,
1_LT05_011028_19840527_00000000000000000510,659.0,1,616.0,483.0,535.0,317.0,2797.0,188.0,38.0,5,1984-05-27,150569602,9.0,NA,45.47401510236529,1186,-69.60023552079427,-0.3204715969989282,96.0,0.0,LANDSAT_5,131.015793,32.304916,193.0,8.0,
1_LT05_011028_19840527_00000000000000000512,583.0,6,573.0,478.0,532.0,191.0,2811.0,153.0,38.0,6,1984-05-27,150569602,9.0,NA,45.48690190440976,1189,-69.60464111263506,-0.49934469200524245,68.0,0.0,LANDSAT_5,131.015793,32.304916,210.0,0.0,
1_LT05_011028_19840527_0000000000000000053e,460.0,15,511.0,425.0,429.0,171.0,2816.0,120.0,38.0,0,1984-05-27,150612244,9.0,NA,46.03429223152866,1299,-69.3681393109624,-0.49853372434017595,96.0,0.0,LANDSAT_5,131.015793,32.304916,176.0,36.0,
1_LT05_011029_19840527_0000000000000000018f,337.0,18,426.0,325.0,466.0,172.0,2865.0,120.0,64.0,0,1984-05-27,106454579,9.0,y,44.134113204118506,546,-70.1002300628161,-0.42474916387959866,66.0,0.0,LANDSAT_5,128.67363,31.621025,152.0,32.0,
1_LT05_011029_19840527_00000000000000000197,355.0,16,427.0,358.0,541.0,197.0,2874.0,120.0,64.0,0,1984-05-27,106454579,9.0,y,44.15569079411613,557,-70.1025398771618,-0.3685897435897436,66.0,0.0,LANDSAT_5,128.67363,31.621025,149.0,0.0,
1_LT05_011029_19840527_000000000000000001ab,333.0,15,423.0,292.0,502.0,146.0,2874.0,84.0,64.0,0,1984-05-27,152433596,9.0,y,44.22691601524282,581,-70.04512003289656,-0.45318352059925093,66.0,0.0,LANDSAT_5,128.67363,31.621025,157.0,0.0,
1_LT05_011029_19840527_000000000000000001ac,351.0,14,423.0,324.0,539.0,171.0,2869.0,120.0,64.0,0,1984-05-27,152433596,9.0,y,44.231022847313035,582,-70.04434860841431,-0.45800316957210774,66.0,0.0,LANDSAT_5,128.67363,31.621025,157.0,0.0,
1_LT05_011029_19840527_000000000000000001ad,333.0,15,423.0,324.0,539.0,146.0,2869.0,120.0,64.0,0,1984-05-27,152433596,9.0,y,44.23139741180154,583,-70.04499963716812,-0.45318352059925093,66.0,0.0,LANDSAT_5,128.67363,31.621025,157.0,0.0,
1_LT05_011029_19840527_000000000000000001af,350.0,16,422.0,291.0,538.0,146.0,2874.0,84.0,64.0,0,1984-05-27,152433596,9.0,y,44.2350404973622,585,-70.04308222371513,-0.4859154929577465,66.0,0.0,LANDSAT_5,128.67363,31.621025,159.0,0.0,
1_LT05_011029_19840527_000000000000000001b4,313.0,16,397.0,302.0,434.0,124.0,2860.0,85.0,64.0,0,1984-05-27,152433595,9.0,y,44.25086584700088,591,-69.94375128864857,-0.5239923224568138,68.0,0.0,LANDSAT_5,128.67363,31.621025,130.0,32.0,
1_LT05_011029_19840527_000000000000000001b8,312.0,17,361.0,269.0,398.0,100.0,2874.0,85.0,64.0,0,1984-05-27,152433527,9.0,y,44.26053317808475,597,-69.98759317020605,-0.5661605206073753,68.0,0.0,LANDSAT_5,128.67363,31.621025,133.0,32.0,
1_LT05_011029_19840527_000000000000000001bf,281.0,15,363.0,270.0,398.0,124.0,2874.0,85.0,64.0,0,1984-05-27,152433595,9.0,y,44.2811030112443,606,-69.9250052278199,-0.49075975359342916,68.0,0.0,LANDSAT_5,128.67363,31.621025,129.0,32.0,
1_LT05_011029_19840527_000000000000000001c2,317.0,17,400.0,271.0,472.0,101.0,2879.0,51.0,64.0,0,1984-05-27,152433519,9.0,y,44.284046017939566,610,-70.04476776391334,-0.5655913978494623,66.0,0.0,LANDSAT_5,128.67363,31.621025,129.0,32.0,
1_LT05_011029_19840527_000000000000000001c6,297.0,19,398.0,270.0,434.0,125.0,2893.0,51.0,64.0,0,1984-05-27,152433527,9.0,y,44.29273680589274,617,-69.97644541757244,-0.5219885277246654,68.0,0.0,LANDSAT_5,128.67363,31.621025,130.0,32.0,
1_LT05_011029_19840527_000000000000000001c7,293.0,15,323.0,235.0,323.0,74.0,2874.0,50.0,64.0,0,1984-05-27,106453289,9.0,y,44.311175188748734,621,-70.07778294811305,-0.6272040302267002,68.0,0.0,LANDSAT_5,128.67363,31.621025,143.0,32.0,
1_LT05_011029_19840527_000000000000000001ce,306.0,16,392.0,297.0,431.0,123.0,2874.0,85.0,64.0,0,1984-05-27,152433595,9.0,y,44.31764534437728,629,-69.88332155117227,-0.5223300970873787,68.0,0.0,LANDSAT_5,128.67363,31.621025,144.0,32.0,
